benchmark,predictor,budget_label,budget_entries,mode,instructions,ipc,fwd_dir_rate,rev_dir_rate,fwd_addr_rate,rev_addr_rate,tage_fwd_tag_matches,sc_fwd_inversions,loop_fwd_hits,loop_rev_hits
ijpeg,tscl,16KB,16384,frmt,10000000,2.6724,0.9996,0.9999,0.9995,0.9999,286059,201,267529,267529
ijpeg,tscl,16KB,16384,twin,10000000,2.6726,0.9997,1.0000,0.9996,1.0000,285349,1213,267529,267526
ijpeg,tscl,32KB,32768,frmt,10000000,2.6724,0.9996,0.9999,0.9995,0.9999,570088,201,267529,267529
ijpeg,tscl,32KB,32768,twin,10000000,2.6726,0.9997,1.0000,0.9996,1.0000,285344,1213,267529,267526
ijpeg,tscl,64KB,65536,frmt,10000000,2.6724,0.9996,0.9999,0.9995,0.9999,710453,339,267529,267529
ijpeg,tscl,64KB,65536,twin,10000000,2.6726,0.9997,1.0000,0.9996,1.0000,285344,1213,267529,267526
ijpeg,tscl,128KB,131072,frmt,10000000,2.6724,0.9996,0.9999,0.9995,0.9999,428200,205,267529,267529
ijpeg,tscl,128KB,131072,twin,10000000,2.6726,0.9997,1.0000,0.9996,1.0000,285344,1213,267529,267526
ijpeg,tscl,256KB,262144,frmt,10000000,2.6726,0.9997,1.0000,0.9996,1.0000,569963,102,267529,267529
ijpeg,tscl,256KB,262144,twin,10000000,2.6726,0.9997,1.0000,0.9996,1.0000,285344,1213,267529,267526
ijpeg,tscl,512KB,524288,frmt,10000000,2.6726,0.9997,1.0000,0.9996,1.0000,569963,103,267529,267529
ijpeg,tscl,512KB,524288,twin,10000000,2.6726,0.9997,1.0000,0.9996,1.0000,285344,1213,267529,267526
ijpeg,tscl,1MB,1048576,frmt,10000000,2.6726,0.9997,1.0000,0.9996,1.0000,569963,103,267529,267529
ijpeg,tscl,1MB,1048576,twin,10000000,2.6726,0.9997,1.0000,0.9996,1.0000,285344,1213,267529,267526
li,tage,16KB,16384,frmt,10000001,1.5793,0.9338,0.9590,0.9024,0.9537,882625,0,134448,134412
li,tage,16KB,16384,twin,10000001,1.5924,0.9318,0.9507,0.9079,0.9454,744778,0,133461,135332
li,tage,32KB,32768,frmt,10000001,1.6064,0.9354,0.9738,0.9115,0.9685,810450,0,141763,141760
li,tage,32KB,32768,twin,10000001,1.5884,0.9319,0.9707,0.9080,0.9654,678486,0,140758,142626
li,tage,64KB,65536,frmt,10000001,1.5958,0.9338,0.9816,0.9098,0.9763,866812,0,142045,142046
li,tage,64KB,65536,twin,10000001,1.5900,0.9324,0.9768,0.9084,0.9714,653183,0,140796,142663
li,tage,128KB,131072,frmt,10000001,1.6024,0.9353,0.9870,0.9112,0.9817,844790,0,141828,141828
li,tage,128KB,131072,twin,10000001,1.6029,0.9356,0.9861,0.9115,0.9807,591481,0,140790,142657
li,tage,256KB,262144,frmt,10000001,1.6050,0.9355,0.9910,0.9115,0.9856,849927,0,141886,141886
li,tage,256KB,262144,twin,10000001,1.6057,0.9361,0.9906,0.9120,0.9853,575090,0,140847,142714
li,tage,512KB,524288,frmt,10000001,1.5987,0.9345,0.9930,0.9104,0.9877,831143,0,141859,141859
li,tage,512KB,524288,twin,10000001,1.5972,0.9343,0.9930,0.9101,0.9877,523598,0,140822,142689
li,tage,1MB,1048576,frmt,10000001,1.6008,0.9359,0.9960,0.9116,0.9907,801644,0,141934,141934
li,tage,1MB,1048576,twin,10000001,1.5998,0.9353,0.9960,0.9111,0.9907,512619,0,140896,142763
li,tagesc,16KB,16384,frmt,10000001,1.5997,0.9341,0.9583,0.9098,0.9530,843196,43289,133819,133783
li,tagesc,16KB,16384,twin,10000001,1.5838,0.9310,0.9507,0.9068,0.9454,701826,51714,133013,134884
li,tagesc,32KB,32768,frmt,10000001,1.5968,0.9335,0.9742,0.9093,0.9689,823760,44162,141170,141167
li,tagesc,32KB,32768,twin,10000001,1.5814,0.9296,0.9707,0.9053,0.9654,675848,80406,140046,141914
li,tagesc,64KB,65536,frmt,10000001,1.6027,0.9357,0.9816,0.9114,0.9762,858481,28459,141141,141142
li,tagesc,64KB,65536,twin,10000001,1.5823,0.9299,0.9768,0.9056,0.9714,661079,74353,140133,142000
li,tagesc,128KB,131072,frmt,10000001,1.5979,0.9345,0.9869,0.9102,0.9816,835591,30817,141248,141248
li,tagesc,128KB,131072,twin,10000001,1.6009,0.9354,0.9861,0.9111,0.9807,621568,67048,140214,142080
