benchmark,predictor,budget_label,budget_entries,mode,instructions,ipc,fwd_dir_rate,rev_dir_rate,fwd_addr_rate,rev_addr_rate,tage_fwd_tag_matches,sc_fwd_inversions,loop_fwd_hits,loop_rev_hits
go,bimod,16KB,16384,twin,10000002,1.3475,0.9150,0.9159,0.9114,0.9132,,,,
go,bimod,32KB,32768,frmt,10000002,1.3480,0.9155,0.9049,0.9119,0.9022,0,0,0,0
go,bimod,32KB,32768,twin,10000002,1.3480,0.9155,0.9164,0.9119,0.9136,,,,
go,bimod,64KB,65536,frmt,10000002,1.3482,0.9155,0.9095,0.9120,0.9069,0,0,0,0
go,bimod,64KB,65536,twin,10000002,1.3482,0.9155,0.9165,0.9120,0.9137,,,,
go,bimod,128KB,131072,frmt,10000002,1.3482,0.9155,0.9126,0.9120,0.9100,0,0,0,0
go,bimod,128KB,131072,twin,10000002,1.3482,0.9155,0.9165,0.9120,0.9137,,,,
go,bimod,256KB,262144,frmt,10000002,1.3482,0.9155,0.9149,0.9120,0.9122,0,0,0,0
go,bimod,256KB,262144,twin,10000002,1.3482,0.9155,0.9165,0.9120,0.9137,,,,
go,bimod,512KB,524288,frmt,10000002,1.3482,0.9155,0.9159,0.9120,0.9132,0,0,0,0
go,bimod,512KB,524288,twin,10000002,1.3482,0.9155,0.9165,0.9120,0.9137,,,,
go,bimod,1MB,1048576,frmt,10000002,1.3482,0.9155,0.9164,0.9120,0.9136,0,0,0,0
go,bimod,1MB,1048576,twin,10000002,1.3482,0.9155,0.9165,0.9120,0.9137,,,,
go,gshare,16KB,16384,frmt,10000002,1.3443,0.9054,0.9427,0.9011,0.9399,0,0,0,0
go,gshare,16KB,16384,twin,10000000,1.3445,0.9054,0.9482,0.9011,0.9455,,,,
go,gshare,32KB,32768,frmt,10000002,1.3617,0.9146,0.9532,0.9104,0.9504,0,0,0,0
go,gshare,32KB,32768,twin,10000000,1.3618,0.9146,0.9622,0.9104,0.9593,,,,
go,gshare,64KB,65536,frmt,10000002,1.3745,0.9213,0.9575,0.9172,0.9547,0,0,0,0
go,gshare,64KB,65536,twin,10000000,1.3745,0.9214,0.9702,0.9172,0.9672,,,,
go,gshare,128KB,131072,frmt,10000002,1.3830,0.9258,0.9608,0.9217,0.9580,0,0,0,0
go,gshare,128KB,131072,twin,10000000,1.3829,0.9258,0.9767,0.9217,0.9736,,,,
go,gshare,256KB,262144,frmt,10000002,1.3848,0.9270,0.9628,0.9229,0.9600,0,0,0,0
go,gshare,256KB,262144,twin,10000000,1.3847,0.9270,0.9808,0.9229,0.9778,,,,
go,gshare,512KB,524288,frmt,10000002,1.3865,0.9278,0.9638,0.9238,0.9610,0,0,0,0
go,gshare,512KB,524288,twin,10000000,1.3865,0.9278,0.9836,0.9238,0.9805,,,,
go,gshare,1MB,1048576,frmt,10000002,1.3854,0.9274,0.9641,0.9233,0.9613,0,0,0,0
go,gshare,1MB,1048576,twin,10000000,1.3854,0.9274,0.9854,0.9233,0.9823,,,,
go,inorder,0KB,0,twin,10000001,0.7305,0.9090,0.9095,0.9057,0.9069,,,,
go,mbp,16KB,16384,frmt,10000002,1.3443,0.9054,0.9452,0.9011,0.9424,0,0,0,0
go,mbp,16KB,16384,twin,10000000,1.3445,0.9054,0.9489,0.9011,0.9461,,,,
go,mbp,32KB,32768,frmt,10000002,1.3617,0.9146,0.9576,0.9104,0.9548,0,0,0,0
go,mbp,32KB,32768,twin,10000000,1.3618,0.9146,0.9629,0.9104,0.9600,,,,
go,mbp,64KB,65536,frmt,10000002,1.3745,0.9213,0.9651,0.9172,0.9622,0,0,0,0
go,mbp,64KB,65536,twin,10000000,1.3745,0.9214,0.9708,0.9172,0.9678,,,,
go,mbp,128KB,131072,frmt,10000002,1.3830,0.9258,0.9723,0.9217,0.9694,0,0,0,0
go,mbp,128KB,131072,twin,10000000,1.3829,0.9258,0.9771,0.9217,0.9741,,,,
go,mbp,256KB,262144,frmt,10000002,1.3848,0.9270,0.9786,0.9229,0.9756,0,0,0,0
go,mbp,256KB,262144,twin,10000000,1.3847,0.9270,0.9812,0.9229,0.9781,,,,
go,mbp,512KB,524288,frmt,10000002,1.3865,0.9278,0.9854,0.9238,0.9823,0,0,0,0
go,mbp,512KB,524288,twin,10000000,1.3865,0.9278,0.9839,0.9238,0.9808,,,,
go,mbp,1MB,1048576,frmt,10000002,1.3854,0.9274,0.9919,0.9233,0.9887,0,0,0,0
go,mbp,1MB,1048576,twin,10000000,1.3854,0.9274,0.9856,0.9233,0.9824,,,,
go,ob,16KB,16384,frmt,10000002,1.3443,0.9054,0.9449,0.9011,0.9421,0,0,0,0
go,ob,16KB,16384,twin,10000000,1.3445,0.9054,0.9486,0.9011,0.9458,,,,
go,ob,32KB,32768,frmt,10000002,1.3617,0.9146,0.9564,0.9104,0.9536,0,0,0,0
go,ob,32KB,32768,twin,10000000,1.3618,0.9146,0.9625,0.9104,0.9596,,,,
go,ob,64KB,65536,frmt,10000002,1.3745,0.9213,0.9619,0.9172,0.9591,0,0,0,0
go,ob,64KB,65536,twin,10000000,1.3745,0.9214,0.9704,0.9172,0.9674,,,,
go,ob,128KB,131072,frmt,10000002,1.3830,0.9258,0.9672,0.9217,0.9644,0,0,0,0
go,ob,128KB,131072,twin,10000000,1.3829,0.9258,0.9768,0.9217,0.9737,,,,
go,ob,256KB,262144,frmt,10000002,1.3848,0.9270,0.9713,0.9229,0.9684,0,0,0,0
go,ob,256KB,262144,twin,10000000,1.3847,0.9270,0.9809,0.9229,0.9778,,,,
go,ob,512KB,524288,frmt,10000002,1.3865,0.9278,0.9789,0.9238,0.9759,0,0,0,0
go,ob,512KB,524288,twin,10000000,1.3865,0.9278,0.9837,0.9238,0.9806,,,,
go,ob,1MB,1048576,frmt,10000002,1.3854,0.9274,0.9890,0.9233,0.9859,0,0,0,0
go,ob,1MB,1048576,twin,10000000,1.3854,0.9274,0.9854,0.9233,0.9823,,,,
go,oht,16KB,16384,frmt,10000002,1.3443,0.9054,0.9436,0.9011,0.9408,0,0,0,0
go,oht,16KB,16384,twin,10000000,1.3445,0.9054,0.9486,0.9011,0.9459,,,,
go,oht,32KB,32768,frmt,10000002,1.3617,0.9146,0.9555,0.9104,0.9527,0,0,0,0
go,oht,32KB,32768,twin,10000000,1.3618,0.9146,0.9628,0.9104,0.9598,,,,
go,oht,64KB,65536,frmt,10000002,1.3745,0.9213,0.9629,0.9172,0.9600,0,0,0,0
go,oht,64KB,65536,twin,10000000,1.3745,0.9214,0.9707,0.9172,0.9677,,,,
go,oht,128KB,131072,frmt,10000002,1.3830,0.9258,0.9695,0.9217,0.9665,0,0,0,0
go,oht,128KB,131072,twin,10000000,1.3829,0.9258,0.9771,0.9217,0.9740,,,,
go,oht,256KB,262144,frmt,10000002,1.3848,0.9270,0.9751,0.9229,0.9721,0,0,0,0
go,oht,256KB,262144,twin,10000000,1.3847,0.9270,0.9811,0.9229,0.9781,,,,
go,oht,512KB,524288,frmt,10000002,1.3865,0.9278,0.9796,0.9238,0.9765,0,0,0,0
go,oht,512KB,524288,twin,10000000,1.3865,0.9278,0.9838,0.9238,0.9807,,,,
go,oht,1MB,1048576,frmt,10000002,1.3854,0.9274,0.9826,0.9233,0.9795,0,0,0,0
go,oht,1MB,1048576,twin,10000000,1.3854,0.9274,0.9855,0.9233,0.9824,,,,
go,tscl,16KB,16384,frmt,10000002,1.3221,0.9028,0.9239,0.8990,0.9211,1229955,152348,93652,60965
go,tscl,16KB,16384,twin,10000002,1.3347,0.9100,0.7732,0.9062,0.7703,1451917,30051,92606,93056
go,tscl,32KB,32768,frmt,10000002,1.3312,0.9069,0.9243,0.9032,0.9214,1288833,146505,126633,93743
go,tscl,32KB,32768,twin,10000002,1.3343,0.9096,0.8124,0.9058,0.8095,1407145,33171,125717,126144
go,tscl,64KB,65536,frmt,10000002,1.3421,0.9123,0.9439,0.9085,0.9411,1255359,98214,175298,151581
go,tscl,64KB,65536,twin,10000002,1.3352,0.9098,0.8818,0.9060,0.8788,1285378,38776,174381,174679
go,tscl,128KB,131072,frmt,10000002,1.3372,0.9103,0.9496,0.9065,0.9467,1245977,94982,211065,190111
go,tscl,128KB,131072,twin,10000002,1.3359,0.9101,0.9124,0.9064,0.9094,1119209,42710,210652,210752
