bench,bpred,size,frmt,metric,value
gcc,bimod,512KB,0,reverse_jr_hits,138533
gcc,bimod,512KB,0,reverse_jr_seen,174461
gcc,bimod,512KB,0,reverse_jr_non_ras_hits.PP,17148
gcc,bimod,512KB,0,reverse_jr_non_ras_seen.PP,53076
gcc,bimod,512KB,0,reverse_bpred_addr_rate,0.8915
gcc,bimod,512KB,0,reverse_bpred_dir_rate,0.9191
gcc,bimod,512KB,0,reverse_bpred_jr_rate,0.7941
gcc,bimod,512KB,0,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,bimod,512KB,0,reverse_retstack_pushes,121385
gcc,bimod,512KB,0,reverse_retstack_pops,121396
gcc,bimod,512KB,0,reverse_used_ras.PP,121385
gcc,bimod,512KB,0,reverse_ras_hits.PP,121385
gcc,bimod,512KB,0,reverse_ras_rate.PP,1.0000
gcc,bimod,64KB,1,lookups,2456151
gcc,bimod,64KB,1,updates,2060457
gcc,bimod,64KB,1,addr_hits,1829013
gcc,bimod,64KB,1,dir_hits,1890105
gcc,bimod,64KB,1,misses,170352
gcc,bimod,64KB,1,jr_hits,134443
gcc,bimod,64KB,1,jr_seen,174461
gcc,bimod,64KB,1,jr_non_ras_hits.PP,17126
gcc,bimod,64KB,1,jr_non_ras_seen.PP,53076
gcc,bimod,64KB,1,bpred_addr_rate,0.8877
gcc,bimod,64KB,1,bpred_dir_rate,0.9173
gcc,bimod,64KB,1,bpred_jr_rate,0.7706
gcc,bimod,64KB,1,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,64KB,1,retstack_pushes,153246
gcc,bimod,64KB,1,retstack_pops,136022
gcc,bimod,64KB,1,used_ras.PP,121385
gcc,bimod,64KB,1,ras_hits.PP,117317
gcc,bimod,64KB,1,ras_rate.PP,0.9665
gcc,bimod,64KB,1,reverse_lookups,2060457
gcc,bimod,64KB,1,reverse_updates,2060457
gcc,bimod,64KB,1,reverse_addr_hits,1820806
gcc,bimod,64KB,1,reverse_dir_hits,1875331
gcc,bimod,64KB,1,reverse_misses,185126
gcc,bimod,64KB,1,reverse_jr_hits,138533
gcc,bimod,64KB,1,reverse_jr_seen,174461
gcc,bimod,64KB,1,reverse_jr_non_ras_hits.PP,17148
gcc,bimod,64KB,1,reverse_jr_non_ras_seen.PP,53076
gcc,bimod,64KB,1,reverse_bpred_addr_rate,0.8837
gcc,bimod,64KB,1,reverse_bpred_dir_rate,0.9102
gcc,bimod,64KB,1,reverse_bpred_jr_rate,0.7941
gcc,bimod,64KB,1,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,bimod,64KB,1,reverse_retstack_pushes,121385
gcc,bimod,64KB,1,reverse_retstack_pops,121396
gcc,bimod,64KB,1,reverse_used_ras.PP,121385
gcc,bimod,64KB,1,reverse_ras_hits.PP,121385
gcc,bimod,64KB,1,reverse_ras_rate.PP,1.0000
gcc,bimod,64KB,0,lookups,2456151
gcc,bimod,64KB,0,updates,2060457
gcc,bimod,64KB,0,addr_hits,1829013
gcc,bimod,64KB,0,dir_hits,1890105
gcc,bimod,64KB,0,misses,170352
gcc,bimod,64KB,0,jr_hits,134443
gcc,bimod,64KB,0,jr_seen,174461
gcc,bimod,64KB,0,jr_non_ras_hits.PP,17126
gcc,bimod,64KB,0,jr_non_ras_seen.PP,53076
gcc,bimod,64KB,0,bpred_addr_rate,0.8877
gcc,bimod,64KB,0,bpred_dir_rate,0.9173
gcc,bimod,64KB,0,bpred_jr_rate,0.7706
gcc,bimod,64KB,0,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,64KB,0,retstack_pushes,153246
gcc,bimod,64KB,0,retstack_pops,136022
gcc,bimod,64KB,0,used_ras.PP,121385
gcc,bimod,64KB,0,ras_hits.PP,117317
gcc,bimod,64KB,0,ras_rate.PP,0.9665
gcc,bimod,64KB,0,reverse_lookups,2060457
gcc,bimod,64KB,0,reverse_updates,2060457
gcc,bimod,64KB,0,reverse_addr_hits,1835822
gcc,bimod,64KB,0,reverse_dir_hits,1892373
gcc,bimod,64KB,0,reverse_misses,168084
gcc,bimod,64KB,0,reverse_jr_hits,138533
gcc,bimod,64KB,0,reverse_jr_seen,174461
gcc,bimod,64KB,0,reverse_jr_non_ras_hits.PP,17148
